category,service,cost
"Jeans and Khaki","Regular Hem",12.95
"Jeans and Khaki","Original Hem",14.95
"Jeans and Khaki","Wide Hem",14.95
"Jeans and Khaki","Take In Waist",14.95
"Jeans and Khaki","Take In Waist - Jean",18.95
"Jeans and Khaki","Taper Legs",15.95
"Jeans and Khaki","Take In Crotch",15.95
"Trousers","Plain Hem",11.95
"Trousers","Hems With Cuffs",14.95
"Trousers","Hems With Lining",15.95
"Trousers","Hems, Cuffs, and Lining",18.95
"Trousers","Hems With Vents",15.95
"Trousers","Men Take In/Let Out Waist",12.95
"Trousers","Women Take In/Let Out Waist",14.95
"Trousers","Take In/Let Out Waist With Lining",18.95
"Trousers","Taper Legs",18.95
"Trousers","Taper Legs With Lining",21.95
"Shirts","Shorten Hem",14.95
"Shirts","Shorten Hem With Curve",16.95
"Shirts","Shorten Sleeves",14.95
"Shirts","Take In",14.95
"Shirts","With Double Stitches",16.95
"Shirts","Alter To Short Sleeves",11.95
"Shirts","T-Shirt Shorten Hem",12.95
"Shirts","T-Shirt Shorten Sleeves",11.95
"Suits and Suits Jackets","Shorten Hems",44.95
"Suits and Suits Jackets","Shorten Sleeves",28.95
"Suits and Suits Jackets","Take In/Take Out",26.95
"Jackets","Shorten Sleeves",18.95
"Jackets","Shorten Sleeves With Lining",26.95
"Jackets","Shorten Hems",22.95
"Jackets","Shorten Hems With Lining",28.95
"Jackets","Take In/Let Out",19.95
"Jackets","Take In/Let Out With Lining",26.95
"Long Coat","Shorten Sleeves",18.95
"Long Coat","Shorten Hems",55.95
"Long Coat","Take In/Let Out",45.95
"Skirt","Shorten Hems",18.95
"Skirt","Shorten Hems With Lining",23.95
"Skirt","Take In/Let Out Waist",18.95
"Skirt","Take In/Let Out Waist With Lining",22.95
"Skirt","Pleated Skirt Hem",30.95
"Gowns","Shorten Hems",32.95
"Gowns","Shorten Hems with 2 Layers",42.95
"Gowns","Shorten Hems with 3 Layers",52.95
"Gowns","Shorten Hems with 4 Layers",62.95
"Gowns","Take In/Take Out",25.95
"Gowns","Take In/Let Out With Lining",35.95
"Gowns","Take In/Let Out With with 3 Layers",40.95
"Gowns","Shorten Straps",21.95
"Wedding Gowns","Shorten Hems",45.00
"Wedding Gowns","Take In",75.00
"Wedding Gowns","Make Bustles",15.00
"Dresses","Shorten Hems",24.95
"Dresses","Shorten Hems With Lining",34.95
"Dresses","Take In/Let Out",23.95
"Dresses","Take In/Let Out Waist With Lining",33.95
"Zipper Replacement","Jeans",14.95
"Zipper Replacement","Slacks",14.95
"Zipper Replacement","Slacks With Lining",18.95
"Zipper Replacement","Skirts",22.95
"Zipper Replacement","Dress or Gown",28.95
"Zipper Replacement","Winter Coat",45.00
"Zipper Replacement","Jacket",45.00
"Zipper Replacement","Zipper Repair",8.00


